Tissue.num,tissue.number.check,perc.east.buzz,PC1,PC2,Species,Tissue.Types,Country.Continent.Ocean,State.Province,Population,Preparator.No.,Voucher.No.,Sex,Song.Type,Latitude,Longitude,plate,western.qvalue,pops,eastern.qvalue
B00941,B00941,0,12.27884641,0.736529158,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #16,609453,M,WESTERN,50.097827,-109.118558,1,0.99999,2,9.99999999995449e-06
B00942,B00942,0,11.03522527,-0.685114126,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #3.5,609441,M,WESTERN,50.097827,-109.118558,1,0.932193,2,0.067807
B00943,B00943,NA,12.76557575,0.655470054,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #12,609450,M,WESTERN,50.097827,-109.118558,1,0.99999,2,9.99999999995449e-06
B00944,B00944,0,12.37236336,-0.88452873,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #4,609442,M,WESTERN,50.097827,-109.118558,1,0.99999,2,9.99999999995449e-06
B00945,B00945,0.98,-10.38105145,3.427991092,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#3,609422,M,EASTERN,50.912843,-106.132121,1,0.087096,4,0.912904
B00946,B00946,0.97,-14.69985567,0.083409729,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#2,609421,M,EASTERN,50.912843,-106.132121,1,1e-05,4,0.99999
B00947,B00947,1,-14.46598636,1.148122299,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#12,609430,M,EASTERN,50.912843,-106.132121,1,1e-05,4,0.99999
B00948,B00948,0.99,-13.69343021,1.760505552,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CHAPLIN,CHAPLIN #1,609414,M,EASTERN,50.329405,-106.606964,1,1e-05,3,0.99999
B00949,B00949,0,-14.75566241,-1.709485889,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#9,609428,M,WESTERN,50.912843,-106.132121,1,1e-05,4,0.99999
B00950,B00950,1,-11.58298408,3.825074997,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#6,609425,M,EASTERN,50.912843,-106.132121,1,1e-05,4,0.99999
B00951,B00951,1,-14.59871158,-1.428832892,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CHAPLIN,CHAPLIN #6,609419,M,EASTERN,50.329405,-106.606964,1,1e-05,3,0.99999
B00953,B00953,0,12.33858519,-0.513812213,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #1,609439,M,WESTERN,50.097827,-109.118558,1,0.99999,2,9.99999999995449e-06
B00954,B00954,0,12.46151834,0.251768979,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #15,609452,M,WESTERN,50.097827,-109.118558,1,0.991354,2,0.00864600000000004
B00955,B00955,0,12.6733362,0.803031851,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CHAPLIN,CHAPLIN #4,609417,M,WESTERN,50.329405,-106.606964,1,0.99999,3,9.99999999995449e-06
B00956,B00956,0,10.9561646,0.320616893,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#10,609429,M,WESTERN,50.912843,-106.132121,1,0.927262,4,0.072738
B00957,B00957,0,9.541412378,-0.260369539,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CHAPLIN,CHAPLIN #5,609418,M,WESTERN,50.329405,-106.606964,1,0.896319,3,0.103681
B00958,B00958,1,-15.36795567,-1.053347809,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#1,609420,M,EASTERN,50.912843,-106.132121,1,1e-05,4,0.99999
B00959,B00959,0.64,-12.86133345,-3.450917079,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #13,609451,M,EASTERN,50.097827,-109.118558,1,0.02261,2,0.97739
B00960,B00960,0,12.2179113,1.218248478,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #10,609448,M,WESTERN,50.097827,-109.118558,1,0.99999,2,9.99999999995449e-06
B00961,B00961,0,9.016992001,-0.326719093,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CHAPLIN,CHAPLIN #3,609416,M,WESTERN,50.329405,-106.606964,1,0.903999,3,0.096001
B00962,B00962,NA,-1.336059745,0.246981575,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#13,609431,M,WESTERN,50.912843,-106.132121,1,0.468848,4,0.531152
B00963,B00963,0,12.8609887,0.826743401,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CRANE,CRANE #7,609445,M,WESTERN,50.097827,-109.118558,1,0.99999,2,9.99999999995449e-06
B00964,B00964,0,10.68035693,0.472417296,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW #8,609427,M,WESTERN,50.912843,-106.132121,1,0.952776,4,0.047224
B00965,B00965,1,-12.74282618,3.036358804,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,CHAPLIN,CHAPLIN #2,609415,M,EASTERN,50.329405,-106.606964,1,1e-05,3,0.99999
B00966,B00966,0,11.88099322,-0.490999363,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#7,609426,M,WESTERN,50.912843,-106.132121,1,0.971795,4,0.028205
B00967,B00967,1,-12.91410877,2.705412962,PALUSTRIS,tissue,CANADA,SASKATCHEWAN,EYEBROW LAKE,EYEBROW#5,609424,M,EASTERN,50.912843,-106.132121,1,0.004541,4,0.995459
B02324,B02324,0,-0.660623002,-0.546235552,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,248,NONE,M,WESTERN,50.912843,-106.132121,1,0.506877,4,0.493123
B02325,B02325,NA,7.813594172,2.795101801,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,249,NONE,M,WESTERN,50.912843,-106.132121,1,0.850953,4,0.149047
